id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2518631699,https://www.vivareal.com.br/imovel/apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-com-garagem-120m2-aluguel-RS6985-id-2518631699/,"Apartamento com 3 Quartos para Aluguel, 120m²","Rua Fradique Coutinho, 771 - Pinheiros, São Paulo - SP",120,3 Quartos,2 Banheiros,2 Vagas,"Área de serviço
Playground
Salão de festas
Escritório
Salão de jogos",R$ 6.985 /mês,R$ 1.200,São Paulo,2021-05-11 18:03
2517804076,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-42m2-aluguel-RS3300-id-2517804076/,"Apartamento com Quarto para Aluguel, 42m²","Rua Arizona - Brooklin, São Paulo - SP",42,1 Quarto,1 Banheiro,1 Vaga,"Piscina
Varanda
Churrasqueira
Ar-condicionado
Área de serviço",R$ 3.300 /mês,R$ 600,São Paulo,2021-05-11 18:03
2514668679,https://www.vivareal.com.br/imovel/apartamento-3-quartos-pompeia-zona-oeste-sao-paulo-com-garagem-60m2-aluguel-RS2400-id-2514668679/,"Apartamento com 3 Quartos para Aluguel, 60m²","Rua Doutor Augusto de Miranda, 597 - Pompeia, São Paulo - SP",60,3 Quartos,1 Banheiro,1 Vaga,"Piscina
Varanda
Churrasqueira
Jardim
Playground",R$ 2.400 /mês,R$ 936,São Paulo,2021-05-11 18:03
2518849573,https://www.vivareal.com.br/imovel/apartamento-1-quartos-butanta-zona-oeste-sao-paulo-23m2-aluguel-RS1400-id-2518849573/,"Apartamento com Quarto para Aluguel, 23m²","Avenida Corifeu de Azevedo Marques - Butantã, São Paulo - SP",23,1 Quarto,1 Banheiro,-- Vaga,Ar-condicionado,R$ 1.400 /mês,R$ 297,São Paulo,2021-05-11 18:03
2512568281,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-olimpia-zona-sul-sao-paulo-com-garagem-274m2-aluguel-RS35000-id-2512568281/,"Apartamento com 3 Quartos para Aluguel, 274m²","Rua Gomes de Carvalho - Vila Olímpia, São Paulo - SP",274,3 Quartos,5 Banheiros,5 Vagas,"Piscina
Varanda gourmet
Academia
Condomínio fechado
Jardim",R$ 35.000 /mês,R$ 6.096,São Paulo,2021-05-11 18:03
2515768729,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-25m2-aluguel-RS2200-id-2515768729/,"Apartamento com Quarto para Aluguel, 25m²","Rua Avanhandava, 65 - Bela Vista, São Paulo - SP",25,1 Quarto,1 Banheiro,-- Vaga,"Mobiliado
Academia
Churrasqueira
Ar-condicionado
Elevador",R$ 2.200 /mês,R$ 455,São Paulo,2021-05-11 18:03
2519110103,https://www.vivareal.com.br/imovel/apartamento-2-quartos-belem-zona-leste-sao-paulo-com-garagem-60m2-venda-RS395000-id-2519110103/,Apartamento com 2 Quartos para Venda/Aluguel 60m²,"Belém, São Paulo - SP",60,2 Quartos,1 Banheiro,1 Vaga,"Piscina
Varanda
Churrasqueira
Elevador
Área de serviço","R$ 1.990 /mês
R$ 395.000",R$ 461,São Paulo,2021-05-11 18:03
2513185427,https://www.vivareal.com.br/imovel/apartamento-2-quartos-republica-centro-sao-paulo-82m2-aluguel-RS1500-id-2513185427/,"Apartamento com 2 Quartos para Aluguel, 82m²","República, São Paulo - SP",82,2 Quartos,1 Banheiro,-- Vaga,"Cozinha
Área de serviço",R$ 1.500 /mês,R$ 649,São Paulo,2021-05-11 18:03
2514970002,https://www.vivareal.com.br/imovel/apartamento-2-quartos-americanopolis-zona-sul-sao-paulo-com-garagem-55m2-aluguel-RS1200-id-2514970002/,"Apartamento com 2 Quartos para Aluguel, 55m²","Rua José Eid Maluf, 387 - Americanópolis, São Paulo - SP",55,2 Quartos,1 Banheiro,1 Vaga,"Academia
Condomínio fechado
Salão de festas
Quadra poliesportiva",R$ 1.200 /mês,R$ 392,São Paulo,2021-05-11 18:03
2511110013,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-ema-zona-leste-sao-paulo-com-garagem-65m2-aluguel-RS1800-id-2511110013/,"Apartamento com 3 Quartos para Aluguel, 65m²","Rua Solidônio Leite - Vila Ema, São Paulo - SP",65,3 Quartos,1 Banheiro,1 Vaga,"Academia
Churrasqueira
Elevador
Condomínio fechado
Aceita animais",R$ 1.800 /mês,,São Paulo,2021-05-11 18:03
