,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua
75,   R$ 7.000 /Mês  ,  2   Quartos  ,"Rua Volta Redonda, 757 - Campo Belo, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  276   m²  ,,
76,   R$ 6.100 /Mês    R$ 1.295.000   ,  2   Quartos  ,"Rua Sansão Alves dos Santos, 343 - Cidade Monções, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  75   m²  ,,
77,   R$ 6.000 /Mês  ,  3   Quartos  ,"Rua Bacaetava, 66 - Vila Gertrudes, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  97   m²  ,,
78,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Dom Constantino Barradas, 120 - Vila Gumercindo, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  80   m²  ,,
79,   R$ 4.985 /Mês  ,  2   Quartos  ,"Rua Silva Correia, 125 - Vila Nova Conceição, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  86   m²  ,,
80,   R$ 1.400 /Mês  ,  2   Quartos  ,"Rua João Ferreira de Abreu - Vila Arriete, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  45   m²  ,,
81,   R$ 2.880 /Mês  ,  1   Quarto  ,"Rua Henri Dunant, 1066 - Santo Amaro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  33   m²  ,,
82,   R$ 1.900 /Mês  ,  1   Quarto  ,"Pinheiros, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  25   m²  ,,
83,   R$ 1.800 /Mês  ,  3   Quartos  ,"Avenida Yervant Kissajikian - Vila Constança, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  60   m²  ,,
84,   R$ 2.000 /Mês  ,  2   Quartos  ,"Rua Tabapuã, 665 - Itaim Bibi, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  85   m²  ,,
85,   R$ 850 /Mês  ,  1   Quarto  ,"Rua Plínio Salgado, 245 - Jardim Peri Peri, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  15   m²  ,,
86,   R$ 1.400 /Mês  ,  1   Quarto  ,"Rua Butantã, 408 - Pinheiros, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  ,,
87,   R$ 2.000 /Mês  ,  2   Quartos  ,"Avenida Doutor Cardoso de Melo - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  70   m²  ,,
88,   R$ 2.900 /Mês  ,  2   Quartos  ,"Alameda Santos, 1018 - Cerqueira César, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  75   m²  ,,
89,   R$ 9.990 /Mês    R$ 2.199.900   ,  3   Quartos  ,"Rua Pensilvânia, 442 - Cidade Monções, São Paulo - SP",  3   Banheiros  ,  3   Vagas  ,  156   m²  ,,
90,   R$ 3.000 /Mês  ,  2   Quartos  ,"Rua Teodoro Sampaio, 498 - Pinheiros, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  75   m²  ,,
91,   R$ 12.000 /Mês  ,  3   Quartos  ,"Rua Visconde de Taunay, 627 - Vila Cruzeiro, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  220   m²  ,,
92,   R$ 7.485 /Mês  ,  2   Quartos  ,"Rua Manuel Guedes, 264 - Jardim Europa, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  110   m²  ,,
93,   R$ 2.400 /Mês  ,  2   Quartos  ,"Rua Paris, 415 - Sumaré, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  54   m²  ,,
94,   R$ 3.900 /Mês  ,  2   Quartos  ,"Rua Caio Prado, 363 - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  54   m²  ,,
95,   R$ 6.000 /Mês  ,  3   Quartos  ,"Rua Kansas, 1700 - Brooklin Paulista, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  100   m²  ,,
96,   R$ 5.485 /Mês  ,  3   Quartos  ,"Rua Nebraska, 420 - Brooklin Novo, São Paulo - SP",  1   Banheiro  ,  3   Vagas  ,  121   m²  ,,
97,   R$ 1.100 /Mês  ,  1   Quarto  ,"Avenida Afonso Mariano Fagundes, 725 - Saúde, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  12   m²  ,,
98,   R$ 1.430 /Mês  ,  2   Quartos  ,"Rua Nossa Senhora do Bom Conselho, 451 - Chácara Nossa Senhora do Bom Conselho, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  54   m²  ,,
99,   R$ 1.150 /Mês  ,  2   Quartos  ,"Rua Inocêncio de Camargo, 41 - Pedreira, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  46   m²  ,,
100,   R$ 3.100 /Mês  ,  3   Quartos  ,"Avenida Bernardino de Campos, 210 - Paraíso, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  128   m²  ,,
101,   R$ 4.200 /Mês  ,  2   Quartos  ,"Rua Helena, 52 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  60   m²  ,,
102,   R$ 3.800 /Mês    R$ 720.000   ,  1   Quarto  ,"Pinheiros, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  44   m²  ,,
103,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Tamandaré, 464 - Liberdade, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  46   m²  ,,
104,   R$ 5.500 /Mês  ,  2   Quartos  ,"Rua Henri Dunant, 792 - Santo Amaro, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  78   m²  ,,
105,   R$ 5.885 /Mês    R$ 1.799.900   ,  3   Quartos  ,"Rua Brasília, 45 - Itaim Bibi, São Paulo - SP",  2   Banheiros  ,  3   Vagas  ,  120   m²  ,,
106,   R$ 2.300 /Mês  ,  1   Quarto  ,"Praça da República, 401 - República, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  ,,
107,   R$ 3.100 /Mês  ,  2   Quartos  ,"Avenida Fagundes Filho - Vila Monte Alegre, São Paulo - SP",  1   Banheiro  ,  2   Vagas  ,  70   m²  ,,
108,   R$ 6.100 /Mês    R$ 1.295.000   ,  2   Quartos  ,"Rua Sansão Alves dos Santos, 343 - Cidade Monções, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  75   m²  ,,
109,   R$ 3.400 /Mês  ,  2   Quartos  ,"Rua Caconde, 310 - Jardim Paulista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  130   m²  ,,
110,   R$ 1.400 /Mês  ,  2   Quartos  ,"Rua João Ferreira de Abreu - Vila Arriete, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  45   m²  ,,
111,   R$ 5.485 /Mês  ,  3   Quartos  ,"Rua Marechal Deodoro, 500 - Santo Amaro, São Paulo - SP",  4   Banheiros  ,  2   Vagas  ,  126   m²  ,,
112,   R$ 2.880 /Mês  ,  1   Quarto  ,"Rua Henri Dunant, 1066 - Santo Amaro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  33   m²  ,,
113,   R$ 2.500 /Mês  ,  2   Quartos  ,"Rua Judith Zumkeller, 870 - Parque Mandaqui, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  60   m²  ,,
114,   R$ 2.000 /Mês  ,  2   Quartos  ,"Rua Tabapuã, 665 - Itaim Bibi, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  85   m²  ,,
115,   R$ 3.800 /Mês  ,  2   Quartos  ,"Rua Faustolo, 724 - Lapa, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  64   m²  ,,
116,   R$ 5.500 /Mês    R$ 1.650.000   ,  3   Quartos  ,"Avenida Padre Pereira de Andrade, 545 - Boaçava, São Paulo - SP",  4   Banheiros  ,  3   Vagas  ,  165   m²  ,,
117,   R$ 4.200 /Mês  ,  2   Quartos  ,"Rua Helena, 52 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  60   m²  ,,
118,   R$ 1.500 /Mês    R$ 310.000   ,  3   Quartos  ,"Rua Jorge Ogushi - Jardim Vila Formosa, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  63   m²  ,,
119,   R$ 2.000 /Mês  ,  2   Quartos  ,"Rua Raul Pompéia, 745 - Vila Pompéia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  81   m²  ,,
120,   R$ 2.000 /Mês  ,  2   Quartos  ,"Avenida Doutor Cardoso de Melo - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  70   m²  ,,
121,   R$ 1.050 /Mês  ,  1   Quarto  ,"Cidade Vargas, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  10   m²  ,,
122,   R$ 9.990 /Mês    R$ 2.199.900   ,  3   Quartos  ,"Rua Pensilvânia, 442 - Cidade Monções, São Paulo - SP",  3   Banheiros  ,  3   Vagas  ,  156   m²  ,,
123,   R$ 3.000 /Mês  ,  2   Quartos  ,"Rua Teodoro Sampaio, 498 - Pinheiros, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  75   m²  ,,
124,   R$ 2.400 /Mês  ,  2   Quartos  ,"Rua Paris, 415 - Sumaré, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  54   m²  ,,
125,   R$ 12.000 /Mês  ,  3   Quartos  ,"Rua Visconde de Taunay, 627 - Vila Cruzeiro, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  220   m²  ,,
126,   R$ 8.000 /Mês  ,  3   Quartos  ,"Alameda dos Arapanés, 628 - Moema, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  198   m²  ,,
127,   R$ 7.485 /Mês  ,  2   Quartos  ,"Rua Manuel Guedes, 264 - Jardim Europa, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  110   m²  ,,
128,   R$ 2.900 /Mês  ,  2   Quartos  ,"Alameda Santos, 1018 - Cerqueira César, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  75   m²  ,,
129,   R$ 14.485 /Mês  ,  3   Quartos  ,"Rua Inajaroba, 17 - Vila Nova Conceição, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  211   m²  ,,
130,   R$ 1.600 /Mês  ,  2   Quartos  ,"Rua Guarani, 460 - Bom Retiro, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  60   m²  ,,
131,   R$ 6.000 /Mês  ,  3   Quartos  ,"Rua Kansas, 1700 - Brooklin Paulista, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  100   m²  ,,
132,   R$ 850 /Mês  ,  1   Quarto  ,"Rua Plínio Salgado, 245 - Jardim Peri Peri, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  15   m²  ,,
133,   R$ 1.400 /Mês  ,  1   Quarto  ,"Rua Barão de Santa Branca - Parque Colonial, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  ,,
134,   R$ 3.100 /Mês  ,  3   Quartos  ,"Avenida Bernardino de Campos, 210 - Paraíso, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  128   m²  ,,
135,   R$ 3.800 /Mês    R$ 720.000   ,  1   Quarto  ,"Pinheiros, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  44   m²  ,,
136,   R$ 5.885 /Mês    R$ 1.799.900   ,  3   Quartos  ,"Rua Brasília, 45 - Itaim Bibi, São Paulo - SP",  2   Banheiros  ,  3   Vagas  ,  120   m²  ,,
137,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Dom Constantino Barradas, 120 - Vila Gumercindo, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  80   m²  ,,
138,   R$ 4.985 /Mês  ,  2   Quartos  ,"Rua Silva Correia, 125 - Vila Nova Conceição, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  86   m²  ,,
139,   R$ 1.400 /Mês  ,  2   Quartos  ,"Rua João Ferreira de Abreu - Vila Arriete, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  45   m²  ,,
140,   R$ 2.880 /Mês  ,  1   Quarto  ,"Rua Henri Dunant, 1066 - Santo Amaro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  33   m²  ,,
141,   R$ 2.500 /Mês  ,  2   Quartos  ,"Rua Judith Zumkeller, 870 - Parque Mandaqui, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  60   m²  ,,
142,   R$ 3.800 /Mês  ,  2   Quartos  ,"Rua Faustolo, 724 - Lapa, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  64   m²  ,,
143,   R$ 5.500 /Mês    R$ 1.650.000   ,  3   Quartos  ,"Avenida Padre Pereira de Andrade, 545 - Boaçava, São Paulo - SP",  4   Banheiros  ,  3   Vagas  ,  165   m²  ,,
144,   R$ 1.050 /Mês  ,  1   Quarto  ,"Cidade Vargas, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  10   m²  ,,
145,   R$ 2.400 /Mês  ,  2   Quartos  ,"Rua Paris, 415 - Sumaré, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  54   m²  ,,
146,   R$ 12.000 /Mês  ,  3   Quartos  ,"Rua Visconde de Taunay, 627 - Vila Cruzeiro, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  220   m²  ,,
147,   R$ 6.385 /Mês  ,  2   Quartos  ,"Rua Casa do Ator, 996 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  100   m²  ,,
148,   R$ 7.485 /Mês  ,  2   Quartos  ,"Rua Manuel Guedes, 264 - Jardim Europa, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  110   m²  ,,
