,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua
290,   R$ 14.490 /Mês  ,  3   Quartos  ,"Rua Inajaroba, 17 - Vila Nova Conceição, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  211   m²  , Vila Nova Conceição,"Rua Inajaroba, 17"
291,   R$ 5.790 /Mês  ,  3   Quartos  ,"Rua Itapicuru, 380 - Perdizes, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  116   m²  , Perdizes,"Rua Itapicuru, 380"
292,   R$ 4.000 /Mês  ,  1   Quarto  ,"Rua Eugênio de Medeiros, 288 - Pinheiros, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  42   m²  , Pinheiros,"Rua Eugênio de Medeiros, 288"
293,   R$ 3.400 /Mês  ,  2   Quartos  ,"Rua Oscar Caravelas, 280 - Sumarezinho, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  88   m²  , Sumarezinho,"Rua Oscar Caravelas, 280"
294,   R$ 1.430 /Mês  ,  2   Quartos  ,"Rua Nossa Senhora do Bom Conselho, 451 - Chácara Nossa Senhora do Bom Conselho, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  54   m²  , Chácara Nossa Senhora do Bom Conselho,"Rua Nossa Senhora do Bom Conselho, 451"
295,   R$ 800 /Mês  ,  1   Quarto  ,"Rua Gomes de Carvalho, 1005 - Vila Olímpia, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  , Vila Olímpia,"Rua Gomes de Carvalho, 1005"
296,   R$ 5.400 /Mês  ,  2   Quartos  ,"Rua Peixoto Gomide, 596 - Jardim Paulista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  72   m²  , Jardim Paulista,"Rua Peixoto Gomide, 596"
297,   R$ 1.500 /Mês  ,  1   Quarto  ,"Rua Doutor Seng, 152 - Bela Vista, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  36   m²  , Bela Vista,"Rua Doutor Seng, 152"
298,   R$ 1.700 /Mês  ,  2   Quartos  ,"Avenida Santa Catarina, 1531 - Vila Mascote, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  54   m²  , Vila Mascote,"Avenida Santa Catarina, 1531"
299,   R$ 3.300 /Mês  ,  3   Quartos  ,"Rua Conselheiro Brotero, 823 - Santa Cecília, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  88   m²  , Santa Cecília,"Rua Conselheiro Brotero, 823"
300,   R$ 1.200 /Mês    R$ 222.000   ,  2   Quartos  ,"Cidade Satélite Santa Bárbara, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  47   m²  , SP,"Cidade Satélite Santa Bárbara, São Paulo"
301,   R$ 5.790 /Mês  ,  3   Quartos  ,"Rua Itapicuru, 380 - Perdizes, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  116   m²  , Perdizes,"Rua Itapicuru, 380"
302,   R$ 2.500 /Mês  ,  3   Quartos  ,"Rua Diana, 675 - Perdizes, São Paulo - SP",  1   Banheiro  ,  2   Vagas  ,  94   m²  , Perdizes,"Rua Diana, 675"
303,   R$ 2.400 /Mês  ,  1   Quarto  ,"Rua Cristiano Viana, 463 - Cerqueira César, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  45   m²  , Cerqueira César,"Rua Cristiano Viana, 463"
304,   R$ 4.500 /Mês  ,  2   Quartos  ,"Rua João Cachoeira, 250 - Vila Nova Conceição, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  90   m²  , Vila Nova Conceição,"Rua João Cachoeira, 250"
305,   R$ 4.500 /Mês  ,  3   Quartos  ,"Rua Sabará, 410 - Higienópolis, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  120   m²  , Higienópolis,"Rua Sabará, 410"
306,   R$ 1.200 /Mês  ,  1   Quarto  ,"Rua Luís Góis, 2172 - Mirandópolis, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  35   m²  , Mirandópolis,"Rua Luís Góis, 2172"
307,   R$ 1.500 /Mês    R$ 310.000   ,  3   Quartos  ,"Rua Jorge Ogushi - Jardim Vila Formosa, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  63   m²  , Jardim Vila Formosa,Rua Jorge Ogushi
308,   R$ 1.300 /Mês    R$ 350.000   ,  2   Quartos  ,"Rua Padre Bento Ibañez - Jardim Prudência, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  45   m²  , Jardim Prudência,Rua Padre Bento Ibañez
309,   R$ 990 /Mês  ,  1   Quarto  ,"Rua Chico Pontes, 184 - Carandiru, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  24   m²  , Carandiru,"Rua Chico Pontes, 184"
310,   R$ 2.500 /Mês  ,  2   Quartos  ,"Rua Iaiá - Itaim Bibi, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  52   m²  , Itaim Bibi,Rua Iaiá
311,   R$ 7.400 /Mês  ,  3   Quartos  ,"Rua Araguari - Vila Uberabinha, São Paulo - SP",  5   Banheiros  ,  2   Vagas  ,  124   m²  , Vila Uberabinha,Rua Araguari
312,   R$ 1.200 /Mês  ,  1   Quarto  ,"Rua Ática, 420 - Jardim Brasil (Zona Sul), São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  35   m²  , Jardim Brasil (Zona Sul),"Rua Ática, 420"
313,   R$ 4.500 /Mês  ,  1   Quarto  ,"Rua Doutor Virgílio de Carvalho Pinto, 262 - Pinheiros, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  , Pinheiros,"Rua Doutor Virgílio de Carvalho Pinto, 262"
314,   R$ 4.990 /Mês  ,  2   Quartos  ,"Rua Capote Valente, 467 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  72   m²  , Pinheiros,"Rua Capote Valente, 467"
315,   R$ 4.000 /Mês    R$ 1.190.000   ,  1   Quarto  ,"Avenida Chibarás, 44 - Moema, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  68   m²  , Moema,"Avenida Chibarás, 44"
316,   R$ 1.150 /Mês  ,  2   Quartos  ,"Rua Inocêncio de Camargo, 41 - Pedreira, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  46   m²  , Pedreira,"Rua Inocêncio de Camargo, 41"
317,   R$ 55.000 /Mês    R$ 23.000.000   ,  4   Quartos  ,"Rua Inhambú - Vila Uberabinha, São Paulo - SP",  6   Banheiros  ,  5   Vagas  ,  403   m²  , Vila Uberabinha,Rua Inhambú
318,   R$ 4.200 /Mês  ,  2   Quartos  ,"Rua Helena, 52 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  60   m²  , Vila Olímpia,"Rua Helena, 52"
319,   R$ 2.300 /Mês  ,  1   Quarto  ,"Rua Major Sertório, 321 - Vila Buarque, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  37   m²  , Vila Buarque,"Rua Major Sertório, 321"
320,   R$ 7.000 /Mês  ,  2   Quartos  ,"Rua Volta Redonda, 757 - Campo Belo, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  276   m²  , Campo Belo,"Rua Volta Redonda, 757"
321,   R$ 5.044 /Mês    R$ 1.115.000   ,  2   Quartos  ,"Rua Pais Leme, 400 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  68   m²  , Pinheiros,"Rua Pais Leme, 400"
322,   R$ 1.400 /Mês  ,  1   Quarto  ,"Rua Barão de Santa Branca - Parque Colonial, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  , Parque Colonial,Rua Barão de Santa Branca
323,   R$ 3.500 /Mês  ,  3   Quartos  ,"Alameda Ribeirão Preto, 118 - Bela Vista, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  100   m²  , Bela Vista,"Alameda Ribeirão Preto, 118"
324,   R$ 2.500 /Mês  ,  2   Quartos  ,"Rua Marquês de Itu, 181 - Vila Buarque, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  50   m²  , Vila Buarque,"Rua Marquês de Itu, 181"
325,   R$ 1.900 /Mês  ,  1   Quarto  ,"Rua Constantino de Sousa, 1032 - Campo Belo, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  45   m²  , Campo Belo,"Rua Constantino de Sousa, 1032"
326,   R$ 2.800 /Mês  ,  3   Quartos  ,"Rua Artur Prado, 275 - Bela Vista, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  78   m²  , Bela Vista,"Rua Artur Prado, 275"
327,   R$ 2.000 /Mês  ,  1   Quarto  ,"Rua Cubatão, 1140 - Vila Mariana, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  32   m²  , Vila Mariana,"Rua Cubatão, 1140"
328,   R$ 1.550 /Mês  ,  2   Quartos  ,"Avenida Escola Politécnica, 2200 - Rio Pequeno, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  57   m²  , Rio Pequeno,"Avenida Escola Politécnica, 2200"
329,   R$ 1.350 /Mês  ,  1   Quarto  ,"Rua da Consolação, 927 - Consolação, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  27   m²  , Consolação,"Rua da Consolação, 927"
330,   R$ 7.000 /Mês  ,  4   Quartos  ,"Rua França Pinto, 537 - Vila Mariana, São Paulo - SP",  3   Banheiros  ,  3   Vagas  ,  160   m²  , Vila Mariana,"Rua França Pinto, 537"
331,   R$ 2.200 /Mês  ,  2   Quartos  ,"Rua Antônio de Macedo Soares, 1234 - Campo Belo, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  70   m²  , Campo Belo,"Rua Antônio de Macedo Soares, 1234"
332,   R$ 4.000 /Mês  ,  2   Quartos  ,"Alameda Tietê, 353 - Cerqueira César, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  100   m²  , Cerqueira César,"Alameda Tietê, 353"
333,   R$ 3.000 /Mês  ,  1   Quarto  ,"Rua Guarará - Jardim Paulista, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  48   m²  , Jardim Paulista,Rua Guarará
334,   R$ 1.500 /Mês  ,  2   Quartos  ,"Rua Santa Crescência, 85 - Ferreira, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  65   m²  , Ferreira,"Rua Santa Crescência, 85"
335,   R$ 4.800 /Mês  ,  3   Quartos  ,"Rua Barão de Jaceguai, 1305 - Campo Belo, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  130   m²  , Campo Belo,"Rua Barão de Jaceguai, 1305"
336,   R$ 4.040 /Mês    R$ 999.800   ,  3   Quartos  ,"Rua Cristiano Viana, 505 - Cerqueira César, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  85   m²  , Cerqueira César,"Rua Cristiano Viana, 505"
337,   R$ 2.150 /Mês  ,  1   Quarto  ,"Rua Júlio Diniz, 145 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  56   m²  , Vila Olímpia,"Rua Júlio Diniz, 145"
338,   R$ 1.900 /Mês  ,  2   Quartos  ,"Rua José Antônio Coelho, 407 - Vila Mariana, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  61   m²  , Vila Mariana,"Rua José Antônio Coelho, 407"
339,   R$ 3.300 /Mês  ,  2   Quartos  ,"Avenida Moaci - Planalto Paulista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  70   m²  , Planalto Paulista,Avenida Moaci
340,   R$ 1.800 /Mês    R$ 420.000   ,  1   Quarto  ,"Rua dos Caciques - Vila da Saúde, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  37   m²  , Vila da Saúde,Rua dos Caciques
341,   R$ 2.700 /Mês  ,  3   Quartos  ,"Rua José Ramon Urtiza, 181 - Vila Andrade, São Paulo - SP",  4   Banheiros  ,  2   Vagas  ,  95   m²  , Vila Andrade,"Rua José Ramon Urtiza, 181"
342,   R$ 1.050 /Mês  ,  1   Quarto  ,"Rua Santo Amaro, 240 - Bela Vista, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  31   m²  , Bela Vista,"Rua Santo Amaro, 240"
343,   R$ 3.200 /Mês  ,  2   Quartos  ,"Rua Alvorada - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  70   m²  , Vila Olímpia,Rua Alvorada
344,   R$ 1.900 /Mês  ,  1   Quarto  ,"Rua da Glória - Liberdade, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  30   m²  , Liberdade,Rua da Glória
345,   R$ 2.700 /Mês  ,  1   Quarto  ,"Rua da Consolação, 1515 - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  33   m²  , Consolação,"Rua da Consolação, 1515"
346,   R$ 2.200 /Mês  ,  1   Quarto  ,"Rua Itararé - Bela Vista, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  48   m²  , Bela Vista,Rua Itararé
347,   R$ 1.500 /Mês  ,  2   Quartos  ,"Avenida Ramalho Ortigão, 200 - Vila Gumercindo, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  100   m²  , Vila Gumercindo,"Avenida Ramalho Ortigão, 200"
348,   R$ 1.000 /Mês  ,  2   Quartos  ,"Rua Ataualpa, 144 - Parque Novo Mundo, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  60   m²  , Parque Novo Mundo,"Rua Ataualpa, 144"
349,   R$ 3.700 /Mês  ,  3   Quartos  ,"Rua Moreira Cardoso - Jardim Aeroporto, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  150   m²  , Jardim Aeroporto,Rua Moreira Cardoso
350,   R$ 12.000 /Mês    R$ 1.900.000   ,  4   Quartos  ,"Rua Topázio, 947 - Vila Mariana, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  390   m²  , Vila Mariana,"Rua Topázio, 947"
351,   R$ 900 /Mês  ,  2   Quartos  ,"Avenida Professor Cardozo de Mello Neto, 136 - Jardim Santa Terezinha (Pedreira), São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  50   m²  , Jardim Santa Terezinha (Pedreira),"Avenida Professor Cardozo de Mello Neto, 136"
352,   R$ 20.000 /Mês    R$ 4.000.000   ,  4   Quartos  ,"Rua Palmares, 650 - Brooklin Paulista, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  647   m²  , Brooklin Paulista,"Rua Palmares, 650"
353,   R$ 1.300 /Mês  ,  3   Quartos  ,"Rua Rifaina, 550 - Vila Anglo Brasileira, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  60   m²  , Vila Anglo Brasileira,"Rua Rifaina, 550"
354,   R$ 45.000 /Mês    R$ 8.900.000   ,  4   Quartos  ,"Jardim Europa, São Paulo - SP",  4   Banheiros  ,  4   Vagas  ,  445   m²  , SP,"Jardim Europa, São Paulo"
355,   R$ 6.500 /Mês    R$ 2.050.000   ,  4   Quartos  ,"Rua Frei Henrique de Coimbra - Água Branca, São Paulo - SP",  3   Banheiros  ,  5   Vagas  ,  400   m²  , Água Branca,Rua Frei Henrique de Coimbra
356,   R$ 8.000 /Mês  ,  2   Quartos  ,"Rua Cerro Corá, 100 - Vila Romana, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  90   m²  , Vila Romana,"Rua Cerro Corá, 100"
357,   R$ 2.200 /Mês  ,  3   Quartos  ,"Rua Clotilde Orsolini Morana, 112 - Jardim Sandra, São Paulo - SP",  2   Banheiros  ,  3   Vagas  ,  340   m²  , Jardim Sandra,"Rua Clotilde Orsolini Morana, 112"
358,   R$ 9.500 /Mês  ,  2   Quartos  ,"Rua Bernarda Luiz, 164 - Vila Madalena, São Paulo - SP",  3   Banheiros  ,  --   Vaga  ,  180   m²  , Vila Madalena,"Rua Bernarda Luiz, 164"
359,   R$ 8.000 /Mês  ,  11   Quartos  ,"Rua Estevão Baião - Vila Congonhas, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  369   m²  , Vila Congonhas,Rua Estevão Baião
360,   R$ 4.500 /Mês    R$ 1.100.000   ,  2   Quartos  ,"Rua Enxovia - Vila São Francisco (Zona Sul), São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  160   m²  , Vila São Francisco (Zona Sul),Rua Enxovia
361,   R$ 3.000 /Mês    R$ 397.000   ,  5   Quartos  ,"Rua César Pena Ramos, 1744 - Vila Santa Maria, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  165   m²  , Vila Santa Maria,"Rua César Pena Ramos, 1744"
362,   R$ 1.100 /Mês  ,  1   Quarto  ,"Parque São Luís, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  40   m²  , SP,"Parque São Luís, São Paulo"
363,   R$ 3.200 /Mês    R$ 785.000   ,  2   Quartos  ,"Rua Lydia Simões Cabral - Indianópolis, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  90   m²  , Indianópolis,Rua Lydia Simões Cabral
364,   R$ 1.096 /Mês  ,  1   Quarto  ,"Rua Barão de Melgaço, 29 - Real Parque, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  50   m²  , Real Parque,"Rua Barão de Melgaço, 29"
365,   R$ 30.000 /Mês    R$ 6.500.000   ,  4   Quartos  ,"Vila Morumbi, São Paulo - SP",  5   Banheiros  ,  10   Vagas  ,  713   m²  , SP,"Vila Morumbi, São Paulo"
366,   R$ 20.000 /Mês  ,  4   Quartos  ,"Rua Simpatia - Jardim das Bandeiras, São Paulo - SP",  3   Banheiros  ,  4   Vagas  ,  650   m²  , Jardim das Bandeiras,Rua Simpatia
367,   R$ 4.300 /Mês    R$ 990.000   ,  3   Quartos  ,"Rua dos Chanes - Indianópolis, São Paulo - SP",  4   Banheiros  ,  2   Vagas  ,  106   m²  , Indianópolis,Rua dos Chanes
368,   R$ 1.250 /Mês  ,  2   Quartos  ,"Rua Joaquim do Lago, 182 - Balneário Mar Paulista, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  50   m²  , Balneário Mar Paulista,"Rua Joaquim do Lago, 182"
369,   R$ 7.000 /Mês    R$ 1.590.000   ,  3   Quartos  ,"Avenida Cardeal Motta - City América, São Paulo - SP",  5   Banheiros  ,  5   Vagas  ,  350   m²  , City América,Avenida Cardeal Motta
370,   R$ 13.000 /Mês    R$ 1.990.000   ,  4   Quartos  ,"Rua Jorge Tibiriçá - Vila Mariana, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  182   m²  , Vila Mariana,Rua Jorge Tibiriçá
371,   R$ 2.000 /Mês  ,  2   Quartos  ,"Rua Correia de Lemos - Chácara Inglesa, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  90   m²  , Chácara Inglesa,Rua Correia de Lemos
372,   R$ 11.000 /Mês    R$ 2.600.000   ,  4   Quartos  ,"Rua Fonseca da Costa - Bosque da Saúde, São Paulo - SP",  6   Banheiros  ,  12   Vagas  ,  650   m²  , Bosque da Saúde,Rua Fonseca da Costa
373,   R$ 45.000 /Mês    R$ 8.900.000   ,  4   Quartos  ,"Rua Campo Verde - Jardim Europa, São Paulo - SP",  6   Banheiros  ,  4   Vagas  ,  490   m²  , Jardim Europa,Rua Campo Verde
374,   R$ 2.900 /Mês  ,  2   Quartos  ,"Rua Rondinha, 101 - Chácara Inglesa, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  325   m²  , Chácara Inglesa,"Rua Rondinha, 101"
375,   R$ 800 /Mês  ,  1   Quarto  ,"Rua Jorge Dias, 94 - Socorro, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  30   m²  , Socorro,"Rua Jorge Dias, 94"
376,   R$ 2.990 /Mês  ,  5   Quartos  ,"Rua Piraí - Alto da Lapa, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  100   m²  , Alto da Lapa,Rua Piraí
377,   R$ 1.500 /Mês  ,  2   Quartos  ,"Rua Francisco Riva - Conjunto Habitacional Barreira Grande, São Paulo - SP",  1   Banheiro  ,  3   Vagas  ,  120   m²  , Conjunto Habitacional Barreira Grande,Rua Francisco Riva
378,   R$ 900 /Mês  ,  1   Quarto  ,"Rua Estado de Pernambuco, 317 - Jardim Egle, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  45   m²  , Jardim Egle,"Rua Estado de Pernambuco, 317"
379,   R$ 10.000 /Mês  ,  3   Quartos  ,"Rua Ubiracica - Boaçava, São Paulo - SP",  5   Banheiros  ,  2   Vagas  ,  350   m²  , Boaçava,Rua Ubiracica
380,   R$ 2.600 /Mês  ,  2   Quartos  ,"Rua República do Iraque, 88 - Brooklin Paulista, São Paulo - SP",  2   Banheiros  ,  3   Vagas  ,  120   m²  , Brooklin Paulista,"Rua República do Iraque, 88"
381,   R$ 50.000 /Mês    R$ 9.000.000   ,  4   Quartos  ,"Rua Dom Tomás Costa e Lima, 97 - Vila Tramontano, São Paulo - SP",  5   Banheiros  ,  14   Vagas  ,  1075   m²  , Vila Tramontano,"Rua Dom Tomás Costa e Lima, 97"
382,   R$ 12.000 /Mês    R$ 3.395.000   ,  4   Quartos  ,"Rua Pires de Oliveira, 530 - Chácara Santo Antônio (Zona Sul), São Paulo - SP",  6   Banheiros  ,  3   Vagas  ,  700   m²  , Chácara Santo Antônio (Zona Sul),"Rua Pires de Oliveira, 530"
383,   R$ 990 /Mês  ,  1   Quarto  ,"Vila Palmeiras, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  50   m²  , SP,"Vila Palmeiras, São Paulo"
384,   R$ 750 /Mês  ,  1   Quarto  ,"Rua Soldado João Rodrigues, 112 - Jardim Japão, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  35   m²  , Jardim Japão,"Rua Soldado João Rodrigues, 112"
385,   R$ 90.000 /Mês    R$ 20.000.000   ,  5   Quartos  ,"Retiro Morumbi, São Paulo - SP",  11   Banheiros  ,  30   Vagas  ,  2000   m²  , SP,"Retiro Morumbi, São Paulo"
386,   R$ 5.000 /Mês  ,  2   Quartos  ,"Rua Flórida, *** - Cidade Monções, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  98   m²  , Cidade Monções,"Rua Flórida, ***"
387,   R$ 12.000 /Mês    R$ 2.300.000   ,  4   Quartos  ,"Rua Itamarati - Pacaembu, São Paulo - SP",  5   Banheiros  ,  5   Vagas  ,  465   m²  , Pacaembu,Rua Itamarati
388,   R$ 600 /Mês  ,  1   Quarto  ,"Vila Carbone, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  45   m²  , SP,"Vila Carbone, São Paulo"
389,   R$ 4.950 /Mês    R$ 2.300.000   ,  3   Quartos  ,"Rua Paris - Sumaré, São Paulo - SP",  3   Banheiros  ,  4   Vagas  ,  177   m²  , Sumaré,Rua Paris
390,   R$ 30.000 /Mês    R$ 7.900.000   ,  4   Quartos  ,"Jardim Cordeiro, São Paulo - SP",  6   Banheiros  ,  14   Vagas  ,  941   m²  , SP,"Jardim Cordeiro, São Paulo"
391,   R$ 10.000 /Mês    R$ 3.000.000   ,  4   Quartos  ,"Rua Carlos Rath - Alto de Pinheiros, São Paulo - SP",  5   Banheiros  ,  5   Vagas  ,  400   m²  , Alto de Pinheiros,Rua Carlos Rath
392,   R$ 2.600 /Mês  ,  1   Quarto  ,"Alameda dos Anapurus - Indianópolis, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  50   m²  , Indianópolis,Alameda dos Anapurus
393,   R$ 8.000 /Mês  ,  4   Quartos  ,"Rua Demóstenes - Campo Belo, São Paulo - SP",  4   Banheiros  ,  2   Vagas  ,  200   m²  , Campo Belo,Rua Demóstenes
394,   R$ 16.000 /Mês  ,  3   Quartos  ,"Rua Turquia - Jardim Europa, São Paulo - SP",  4   Banheiros  ,  2   Vagas  ,  260   m²  , Jardim Europa,Rua Turquia
395,   R$ 2.200 /Mês  ,  2   Quartos  ,"Rua Artur Thiré, 1085 - Vila da Saúde, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  80   m²  , Vila da Saúde,"Rua Artur Thiré, 1085"
396,   R$ 8.000 /Mês  ,  3   Quartos  ,"Alto de Pinheiros, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  450   m²  , SP,"Alto de Pinheiros, São Paulo"
397,   R$ 16.000 /Mês  ,  4   Quartos  ,"Rua Nebraska - Brooklin Novo, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  200   m²  , Brooklin Novo,Rua Nebraska
398,   R$ 11.500 /Mês  ,  3   Quartos  ,"Rua Professor Filadelfo Azevedo - Vila Nova Conceição, São Paulo - SP",  3   Banheiros  ,  4   Vagas  ,  213   m²  , Vila Nova Conceição,Rua Professor Filadelfo Azevedo
399,   R$ 600 /Mês  ,  1   Quarto  ,"Rua Timóteo, 49 - Jardim Paraguaçu, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  30   m²  , Jardim Paraguaçu,"Rua Timóteo, 49"
400,   R$ 20.000 /Mês    R$ 6.000.000   ,  4   Quartos  ,"Rua Ceará - Consolação, São Paulo - SP",  8   Banheiros  ,  5   Vagas  ,  550   m²  , Consolação,Rua Ceará
401,   R$ 10.000 /Mês  ,  2   Quartos  ,"Rua Maestro Chiaffarelli - Jardim Paulista, São Paulo - SP",  4   Banheiros  ,  1   Vaga  ,  170   m²  , Jardim Paulista,Rua Maestro Chiaffarelli
402,   R$ 750 /Mês  ,  1   Quarto  ,"Rua Soldado João Rodrigues, 112 - Jardim Japão, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  35   m²  , Jardim Japão,"Rua Soldado João Rodrigues, 112"
403,   R$ 20.000 /Mês    R$ 4.500.000   ,  4   Quartos  ,"Rua Bennet - Alto de Pinheiros, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  451   m²  , Alto de Pinheiros,Rua Bennet
404,   R$ 2.200 /Mês  ,  2   Quartos  ,"Rua Artur Thiré, 1085 - Vila da Saúde, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  80   m²  , Vila da Saúde,"Rua Artur Thiré, 1085"
405,   R$ 2.900 /Mês  ,  2   Quartos  ,"Rua Rondinha, 101 - Chácara Inglesa, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  325   m²  , Chácara Inglesa,"Rua Rondinha, 101"
406,   R$ 1.300 /Mês  ,  3   Quartos  ,"Rua Rifaina, 550 - Vila Anglo Brasileira, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  60   m²  , Vila Anglo Brasileira,"Rua Rifaina, 550"
407,   R$ 20.000 /Mês  ,  4   Quartos  ,"Rua Simpatia - Jardim das Bandeiras, São Paulo - SP",  3   Banheiros  ,  4   Vagas  ,  650   m²  , Jardim das Bandeiras,Rua Simpatia
408,   R$ 4.112 /Mês  ,  4   Quartos  ,"Vila São Francisco, São Paulo - SP",  4   Banheiros  ,  4   Vagas  ,  350   m²  , SP,"Vila São Francisco, São Paulo"
409,   R$ 900 /Mês  ,  2   Quartos  ,"Avenida Professor Cardozo de Mello Neto, 136 - Jardim Santa Terezinha (Pedreira), São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  50   m²  , Jardim Santa Terezinha (Pedreira),"Avenida Professor Cardozo de Mello Neto, 136"
410,   R$ 1.250 /Mês  ,  2   Quartos  ,"Rua Joaquim do Lago, 182 - Balneário Mar Paulista, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  50   m²  , Balneário Mar Paulista,"Rua Joaquim do Lago, 182"
411,   R$ 1.900 /Mês  ,  1   Quarto  ,"Rua Barretos, 363 - Alto da Mooca, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  70   m²  , Alto da Mooca,"Rua Barretos, 363"
