,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua,zona
938,3500,4.0,"Rua Arandu - Brooklin Paulista, São Paulo - SP",4.0,2.0,150, Brooklin Paulista,Rua Arandu,Sul
939,3500,2.0,"Alto da Boa Vista, São Paulo - SP",2.0,1.0,120, SP,"Alto da Boa Vista, São Paulo",Sul
942,2500,2.0,"Rua Antônio Cantarella - Vila Santo Estéfano, São Paulo - SP",2.0,2.0,180, Vila Santo Estéfano,Rua Antônio Cantarella,Sul
943,10000,4.0,"Chácara Santo Antônio (Zona Sul), São Paulo - SP",5.0,4.0,435, SP,"Chácara Santo Antônio (Zona Sul), São Paulo",Sul
944,10000,4.0,"Interlagos, São Paulo - SP",5.0,0.0,390, SP,"Interlagos, São Paulo",Sul
945,14000,4.0,"Chácara Monte Alegre, São Paulo - SP",4.0,2.0,407, SP,"Chácara Monte Alegre, São Paulo",Sul
950,13000,4.0,"Jardim dos Estados, São Paulo - SP",5.0,3.0,340, SP,"Jardim dos Estados, São Paulo",Sul
952,2200,6.0,"Vila Santa Catarina, São Paulo - SP",5.0,2.0,150, SP,"Vila Santa Catarina, São Paulo",Sul
953,2300,1.0,"Rua Bom Pastor, 1557 - Ipiranga, São Paulo - SP",1.0,1.0,34, Ipiranga,"Rua Bom Pastor, 1557",Sul
954,8500,3.0,"Rua Professor José Leite e Oiticica, 240 - Brooklin, São Paulo - SP",5.0,2.0,150, Brooklin,"Rua Professor José Leite e Oiticica, 240",Sul
956,2250,2.0,"Avenida Padre Antônio José dos Santos, 1666 - Brooklin, São Paulo - SP",2.0,1.0,86, Brooklin,"Avenida Padre Antônio José dos Santos, 1666",Sul
959,6500,1.0,"Rua Doutor Mário Ferraz, 415 - Itaim Bibi, São Paulo - SP",2.0,1.0,50, Itaim Bibi,"Rua Doutor Mário Ferraz, 415",Sul
960,2600,2.0,"Rua Santo Arcádio, 43 - Jardim das Acacias, São Paulo - SP",1.0,1.0,64, Jardim das Acacias,"Rua Santo Arcádio, 43",Sul
961,4000,2.0,"Alameda Tietê, 353 - Jardins, São Paulo - SP",3.0,1.0,100, Jardins,"Alameda Tietê, 353",Sul
964,3750,1.0,"Rua Henri Dunant, 1066 - Santo Amaro, São Paulo - SP",1.0,1.0,55, Santo Amaro,"Rua Henri Dunant, 1066",Sul
970,1900,2.0,"Rua Pedroso de Camargo, 256 - Chácara Santo Antônio, São Paulo - SP",1.0,0.0,80, Chácara Santo Antônio,"Rua Pedroso de Camargo, 256",Sul
972,16000,4.0,"Rua Nebraska - Brooklin, São Paulo - SP",5.0,4.0,200, Brooklin,Rua Nebraska,Sul
973,2200,2.0,"Rua Artur Thiré, 1085 - Saúde, São Paulo - SP",2.0,0.0,80, Saúde,"Rua Artur Thiré, 1085",Sul
976,2600,2.0,"Chácara Santo Antônio, São Paulo - SP",2.0,0.0,180, SP,"Chácara Santo Antônio, São Paulo",Sul
978,1500,2.0,"Avenida Ramalho Ortigão, 200 - Ipiranga, São Paulo - SP",1.0,0.0,100, Ipiranga,"Avenida Ramalho Ortigão, 200",Sul
981,5000,3.0,"Rua Guiratinga, 465 - Chácara Inglesa, São Paulo - SP",2.0,4.0,200, Chácara Inglesa,"Rua Guiratinga, 465",Sul
990,1500,2.0,"Rua Maracá, 168 - Vila Guarani, São Paulo - SP",1.0,0.0,72, Vila Guarani,"Rua Maracá, 168",Sul
992,18500,4.0,"Rua Cassiano Ricardo, 118 - Alto Da Boa Vista, São Paulo - SP",6.0,4.0,430, Alto Da Boa Vista,"Rua Cassiano Ricardo, 118",Sul
993,35000,4.0,"Chácara Monte Alegre, São Paulo - SP",6.0,5.0,800, SP,"Chácara Monte Alegre, São Paulo",Sul
994,20000,4.0,"Rua Carlos Baptista de Magalhães, 140 - Jardim Prudência, São Paulo - SP",4.0,5.0,587, Jardim Prudência,"Rua Carlos Baptista de Magalhães, 140",Sul
995,15000,3.0,"Brooklin, São Paulo - SP",5.0,6.0,500, SP,"Brooklin, São Paulo",Sul
996,6000,4.0,"Jardim da Saude, São Paulo - SP",5.0,3.0,154, SP,"Jardim da Saude, São Paulo",Sul
