,id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at,neighborhood
6566,2506392092,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-103m2-venda-RS1495000-id-2506392092/,Apartamento com 2 Quartos à Venda/Aluguel 103m²,"Rua Itacema - Itaim Bibi, São Paulo - SP",103,2,2,1,"Piscina
Mobiliado
Academia
Elevador
Condomínio fechado",6500,1000,São Paulo,2021-05-11 18:40, Itaim Bibi
6567,2513493704,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-166m2-aluguel-RS5485-id-2513493704/,"Apartamento com 3 Quartos para Aluguel, 166m²","Avenida Portugal, 474 - Brooklin, São Paulo - SP",166,3,2,2,"Área de serviço
Playground
Salão de festas
Quadra poliesportiva",5485,2500,São Paulo,2021-05-11 18:40, Brooklin
6568,2508710309,https://www.vivareal.com.br/imovel/apartamento-1-quartos-pinheiros-zona-oeste-sao-paulo-com-garagem-47m2-aluguel-RS3300-id-2508710309/,"Apartamento com Quarto para Aluguel, 47m²","Rua Mourato Coelho, 473 - Pinheiros, São Paulo - SP",47,1,1,1,"Elevador
Aceita animais
Jardim
Lavanderia
Sauna",3300,980,São Paulo,2021-05-11 18:40, Pinheiros
6569,2512158573,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-78m2-aluguel-RS4500-id-2512158573/,"Apartamento com 2 Quartos para Aluguel, 78m²","Rua Joaquim Floriano, 636 - Itaim Bibi, São Paulo - SP",78,2,2,1,"Cozinha
Área de serviço
Aquecimento",4500,1050,São Paulo,2021-05-11 18:40, Itaim Bibi
6570,2510803535,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jaguare-zona-oeste-sao-paulo-com-garagem-50m2-aluguel-RS2000-id-2510803535/,"Apartamento com 2 Quartos para Aluguel, 50m²","Avenida Jaguaré, 0 - Jaguaré, São Paulo - SP",50,2,1,1,nan,2000,330,São Paulo,2021-05-11 18:40, Jaguaré
6571,2515765878,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-238m2-venda-RS5680000-id-2515765878/,Apartamento com 3 Quartos à Venda/Aluguel 238m²,"Rua Afonso Braz - Vila Nova Conceição, São Paulo - SP",238,3,4,5,"Piscina
Varanda gourmet
Churrasqueira
Academia
Elevador",21600,3067,São Paulo,2021-05-11 18:40, Vila Nova Conceição
6572,2516568992,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-zona-sul-sao-paulo-com-garagem-36m2-aluguel-RS3200-id-2516568992/,"Apartamento com Quarto para Aluguel, 36m²","Rua Gabriele D'Annunzio - Campo Belo, São Paulo - SP",36,1,1,1,"Piscina
Elevador
Condomínio fechado
Playground
Salão de festas",3200,,São Paulo,2021-05-11 18:40, Campo Belo
6573,2516981942,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-mendes-zona-leste-sao-paulo-com-garagem-52m2-aluguel-RS1100-id-2516981942/,"Apartamento com 2 Quartos para Aluguel, 52m²","Vila Mendes, São Paulo - SP",52,2,1,1,"Cozinha
Área de serviço",1100,300,São Paulo,2021-05-11 18:40, SP
6574,2516170478,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-148m2-venda-RS3799900-id-2516170478/,Apartamento com 2 Quartos para Venda/Aluguel 148m²,"Rua Marcos Lopes, 272 - Vila Nova Conceição, São Paulo - SP",148,2,3,2,"Área de serviço
Playground
Salão de festas
Salão de jogos",19990,1280,São Paulo,2021-05-11 18:40, Vila Nova Conceição
6575,2497333774,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jabaquara-zona-sul-sao-paulo-com-garagem-48m2-venda-RS325000-id-2497333774/,Apartamento com Quarto para Venda/Aluguel 48m²,"Rua dos Buritis - Jabaquara, São Paulo - SP",48,1,1,1,"Varanda
Elevador
Condomínio fechado
Área de serviço
Interfone",1300,600,São Paulo,2021-05-11 18:40, Jabaquara
6576,2514376010,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cerqueira-cesar-centro-sao-paulo-com-garagem-340m2-aluguel-RS20000-id-2514376010/,"Apartamento com 3 Quartos para Aluguel, 340m²","Cerqueira César, São Paulo - SP",340,3,6,2,nan,20000,,São Paulo,2021-05-11 18:40, SP
6577,2516833548,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardins-zona-oeste-sao-paulo-com-garagem-44m2-venda-RS590000-id-2516833548/,Apartamento com Quarto à Venda/Aluguel 44m²,"Rua Batataes, 308 - Jardins, São Paulo - SP",44,1,1,1,"Piscina
Mobiliado
Academia
Elevador
Condomínio fechado",5500,1230,São Paulo,2021-05-11 18:40, Jardins
6578,2518810382,https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-branca-zona-oeste-sao-paulo-com-garagem-128m2-venda-RS1320000-id-2518810382/,Apartamento com 3 Quartos à Venda/Aluguel 128m²,"Avenida Francisco Matarazzo, 1850 - Água Branca, São Paulo - SP",128,3,4,2,"Piscina
Varanda gourmet
Churrasqueira
Academia
Elevador",5200,990,São Paulo,2021-05-11 18:40, Água Branca
